iso,name,continent,mismanaged_tonnes,ocean_share_pct,per_capita_kg_day
THA,Thailand,Asia,1361690,2.3284,0.144
LAO,Laos,Asia,,,
MMR,Myanmar,Asia,434432,0.2597,0.075
VNM,Vietnam,Asia,1112790,2.8813,0.103
PRK,North Korea,Asia,322,0.0051,0.054
KOR,South Korea,Asia,12156,0.0395,0.112
MNG,Mongolia,Asia,,,
IND,India,Asia,12994100,12.9166,0.01
BGD,Bangladesh,Asia,1021990,2.5157,0.034
BTN,Bhutan,Asia,,,
NPL,Nepal,Asia,,,
PAK,Pakistan,Asia,1346460,0.0891,0.103
AFG,Afghanistan,Asia,,,
TJK,Tajikistan,Asia,,,
KGZ,Kyrgyzstan,Asia,,,
TKM,Turkmenistan,Asia,,,
IRN,Iran,Asia,495965,0.0947,0.144
SYR,Syria,Asia,502,0.0045,0.178
ARM,Armenia,Asia,,,
SWE,Sweden,Europe,4255,0.0037,0.048
BLR,Belarus,Europe,,,
UKR,Ukraine,Europe,393777,0.0877,0.103
POL,Poland,Europe,14124,0.003,0.097
AUT,Austria,Europe,,,
HUN,Hungary,Europe,,,
MDA,Moldova,Europe,,,
ROU,Romania,Europe,52161,0.0082,0.042
LTU,Lithuania,Europe,1037,0.0007,0.132
LVA,Latvia,Europe,955,0.0009,0.124
EST,Estonia,Europe,600,0.0012,0.176
DEU,Germany,Europe,50676,0.0137,0.485
BGR,Bulgaria,Europe,3117,0.0007,0.154
GRC,Greece,Europe,4506,0.0221,0.2
TUR,Turkey,Asia,1656110,1.463,0.212
ALB,Albania,Europe,69833,0.1598,0.069
HRV,Croatia,Europe,17544,0.0229,0.252
CHE,Switzerland,Europe,,,
LUX,Luxembourg,Europe,,,
BEL,Belgium,Europe,2284,0.0035,0.08
NLD,Netherlands,Europe,15233,0.0277,0.424
PRT,Portugal,Europe,3818,0.0078,0.265
ESP,Spain,Europe,20350,0.024,0.277
IRL,Ireland,Europe,2675,0.0117,0.43
NCL,New Caledonia,Oceania,,,0.252
SLB,Solomon Is.,Oceania,3520,0.0102,0.103
NZL,New Zealand,Oceania,1714,0.0069,0.331
AUS,Australia,Oceania,5266,0.0033,0.112
LKA,Sri Lanka,Asia,155466,0.9856,0.357
CHN,China,Asia,12272200,7.219,0.121
TWN,Taiwan,Asia,7502,0.0542,0.252
ITA,Italy,Europe,38803,0.0423,0.134
DNK,Denmark,Europe,390,0.0009,0.047
GBR,United Kingdom,Europe,29914,0.0718,0.215
ISL,Iceland,Europe,151,0.0,0.281
AZE,Azerbaijan,Asia,,,
GEO,Georgia,Asia,307,0.0003,0.068
PHL,Philippines,Asia,4025300,36.3845,0.075
MYS,Malaysia,Asia,814454,7.4631,0.198
BRN,Brunei,Asia,692,0.0137,0.026
SVN,Slovenia,Europe,844,0.0011,0.145
FIN,Finland,Europe,2621,0.0,0.234
SVK,Slovakia,Europe,1719,0.0,
CZE,Czechia,Europe,,,
ERI,Eritrea,Africa,84088,0.0049,0.045
JPN,Japan,Asia,35684,0.1873,0.171
PRY,Paraguay,South America,,,
YEM,Yemen,Asia,291737,0.0257,0.103
SAU,Saudi Arabia,Asia,7176,0.0003,0.156
-99,N. Cyprus,Asia,,,
CYP,Cyprus,Asia,837,0.0003,0.248
MAR,Morocco,Africa,295488,0.1838,0.073
EGY,Egypt,Africa,1435510,0.2523,0.178
LBY,Libya,Africa,188535,0.0897,0.144
ETH,Ethiopia,Africa,,,
DJI,Djibouti,Africa,10289,0.0004,0.103
-99,Somaliland,Africa,,,
UGA,Uganda,Africa,,,
RWA,Rwanda,Africa,,,
BIH,Bosnia and Herz.,Europe,55551,0.0006,0.144
MKD,North Macedonia,Europe,,,
SRB,Serbia,Europe,,,
MNE,Montenegro,Europe,16,0.0,0.144
-99,Kosovo,Europe,,,
TTO,Trinidad and Tobago,North America,73139,0.3632,0.29
SSD,S. Sudan,Africa,,,
